2021-11-28T20:36:15.000Z,@wkyc Wait - what? ⇨  ⇨ He blamed Trump and claimed he’d fix everything if elected…. Was he just lying to get elected? ⇨  ⇨ He bashed the vaccine when Trump was in office. But now blames people for not taking it.  ⇨  ⇨ https://t.co/rXKtPaXK7Y
2021-11-28T20:36:14.000Z,@ValJzhz Well if vaccine proves ineffective against this variant then yes
2021-11-28T20:36:14.000Z,"@GregHuntMP cannot agree more, QLD government has singularly performed disastrously in vaccination effort, caused   unnecessary pain. QLD is part of Australia, every Australian has a right to visit, live and work in any part of Australia which cannot be denied by false narratives."
2021-11-28T20:36:14.000Z,Im worried because I know a lot of ppl that got vaccinated and got the boosters and im not anti vac but they don’t even know what they’re doing. Pfizer. The leader in vaccination is experimenting with HIV drugs to fight Covid… why would Covid attack our helper T cells if mRNA
2021-11-28T20:36:14.000Z,"@boberto469 Yeah, since everybody want to pat themselves on the back for taking a vaccine I guess I’ll trigger them a little bit"
2021-11-28T20:36:12.000Z,@B1llyTh2K3d Extraordinary meeting of the(SAGE) inmunization ⇨  ⇨ This extraordinary virtual meeting for the Strategic Advisory Group of Experts on Immunization (SAGE) will take place on Tuesday 7 December 2021 to propose recommendations to WHO on the use of COVID-19 vaccine(s).
2021-11-28T20:36:12.000Z,"Not looking for a fight just honestly confused. ⇨  ⇨ 2020: US COVID deaths 385,000 ⇨ 2021 + vaccine: US COVID deaths 386,000 with a month to go. ⇨  ⇨ Either what we are doing doesn't matter or doesn't work.  Where do we go from here?"
2021-11-28T20:34:23.000Z,@chrisjcate @kopzsd Hello Chris ⇨ Together let's stop Vaccine Discrimination! ⇨ Vaccine Discrimination causes racial disparities! ⇨ CDC admits COVID Vaccine has risk of injury &amp; death! ⇨ Look at COVID Vaccine VAERS.  ⇨ https://t.co/SJRbYl5zF5… ⇨ Prof.Dr. Sucharit Bhakdi! Brilliant! Extremely important video!
2021-11-28T20:34:23.000Z,@mehdirhasan Hey hold up there..in gonna get my vaccine this week... Be patient geez 😂😆
2021-11-28T20:34:23.000Z,@Wezile_ @BNjalo_artist Wezile! Being an anti-vaxxer is not the weapon of the poor. Not being vaccinated is not a class struggle. Being vaccinated at zero cost is infact a chance for the poor. I lost several family members because of covid-19. They were from eKasi. They died waiting for the vaccine!
2021-11-28T20:34:23.000Z,"""Vaccine manufacturers say they are studying the new variant Omicron""  https://t.co/tHT0XXOHPH"
2021-11-28T20:34:22.000Z,@ChennaiFlights Fully vaccinated
2021-11-28T20:34:22.000Z,@wahlstedt007 Not for a very long time. There are still way too many who refuse to get vaccinated
2021-11-28T20:34:22.000Z,"WELP. There is a solution but, it's too late for that solution the work. Those damned fools who refuse to get vaccinated will gladly die for their right to remain unvaccinated. And they'll let the rest of us suffer along with them. https://t.co/JB4zZSdow8"
2021-11-28T20:34:22.000Z,"@guardian Oh yes, yet another booster vaccine that its efficacy has not been studied or deemed safe."
2021-11-28T20:34:21.000Z,"@NFCR14 @barbcraig7 Here's the other study I shared elsewhere, from the UK, which looks specifically at risk of stillbirth in vaccinated vs unvaccinated. There's no increase in risk among the vaccinated. https://t.co/TnmgX5DMPw"
2021-11-28T20:34:21.000Z,@TheRickWilson Maybe you ought to study the data: ⇨  ⇨ https://t.co/bVr9VZGTXF
2021-11-28T20:34:20.000Z,@P8R1OT_REDUX Haha he lies about everything…I do not believe 70-80 are vaccinated. Vaccines are not safe
2021-11-28T20:34:19.000Z,@DavidShepherd9 @JamesEdmondston @JamesMelville Yeah I know you are. Why compare the Holocaust to people wearing masks for a 3 week period while the new variant is tested against the vaccine?
2021-11-28T20:34:19.000Z,@Breanna34652334 @DataDrivenMD Or we could just get everyone vaccinated and wearing masks.
2021-11-28T20:34:19.000Z,@ABC no how many variants you make people wont get vaccinated.
2021-11-28T20:34:18.000Z,@MarkR10504221 @RubenLe98707934 @p5svxp5tkv_mark @ReutersUS So you just explained why the vaccine is worthless.
2021-11-28T20:34:18.000Z,Today I went to the York vaccination centre for my flu Jab... The volunteers are amazing. It was absolutely freezing. @Nimbuscare1 and everyone who coordinates the centres you are heroes. Thank you 👏👏👏👏
2021-11-28T20:34:18.000Z,@debcrutz Where are you from? Telling people to fuck off... Why don't you get injected and go and hide as you are scared of the normal people. In case they give you what? Do you not feel. Safe with your vaccine?
2021-11-28T20:34:16.000Z,"@a_salt_weapon No, because like I just said, not too long ago as a matter of fact, and you know this, the less vaccinated people you have, the more variants you have. The more variants you have, the less likely a vaccine for the original virus is to work"
2021-11-28T20:34:14.000Z,@Bobby6172 @WAPFLondon So you don't think that your vaccine works then?
2021-11-28T20:34:14.000Z,@ErikSTownsend @trvrb @chrismartenson If it wasn’t from all of the vaccinations we’d be where you’re suggesting by now. But the vaccinated keep spreading Covid and allowing for the mutations.
2021-11-28T20:34:13.000Z,Proprietary Medical Technology Industrial complex - PMTIC  ⇨  ⇨ Vaccine Industrial Complex - VIC ⇨  ⇨ Follow the money...  ⇨ by $billions and $trillions  ⇨  ⇨ ONLY a $800m drug can pay FDA Approval costs and then 24% of revenues for “marketing” * ⇨  ⇨ * mostly programs to educate physicians https://t.co/qzbpcqovb3
2021-11-28T20:34:13.000Z,"Not sure what you’re implying here. But here’s a definitive statement from the same source:”Between 2 January and 24 September 2021, the age-adjusted risk of deaths involving coronavirus (COVID-19) was 32 times greater in unvaccinated people than in fully vaccinated individuals.” https://t.co/g7WIAdhNVb"
2021-11-28T20:34:13.000Z,"How many people have died from the vaccine in the U.S.? ONLY 3! (Updated July 23, 2021) ⇨ Source: covid-101.(org)/science/how-ma… ⇨  ⇨ 635,257 US Deaths from COVID  ⇨ Source: https://t.co/OaOpYOWmYE  ⇨ https://t.co/B5ZppOk0Mt 10"
2021-11-28T20:32:23.000Z,@larsmcmurtry ⇨  ⇨ You are aware that according to latest studies in numerous countries the vaccinated are as infectious and speeading the virus as much as the uninfected? Your ignorance and status of being gov propaganda brainwashed is mindbaffling. https://t.co/dm9KTCmkkl https://t.co/RJYTOvzNzt
2021-11-28T20:32:22.000Z,"@eNCA Your so called first trial injection(not a vaccine) is not working anyway, already advocating 3rd booster, why??? Come on, get real."
2021-11-28T20:32:21.000Z,Mandatory Measles Vaccination in New York City — Reflections on a Bold Experiment | NEJM ~ https://t.co/WhXNFDcJ9Z
2021-11-28T20:32:20.000Z,"@uklockdown @Hammert93653327 And the connecting evidence is what? That vaccinated people can’t transmit c19 for the brief period people believe you nonsense? Let’s check how Sweden is doing…. Oh, better not, it doesn’t fit the narrative of virtue-signalling dimwits."
2021-11-28T20:32:20.000Z,@PeterHotez @POTUS @SecBlinken @WHCOS @SecBecerra @CDCDirector @AliMayorkas @SecretaryPete @WHCOVIDResponse @JakeSullivan46 @ASlavitt @PressSec  Follow science and rescind “punishment”travel bans. Be a global vaccine equity leader and collaborate with countries on resources and support!
2021-11-28T20:32:19.000Z,@tonka804 @woolseverywhere @LesleyMillercyp @sajidjavid @jacksweynseye The vaccine has been in development since the SARS virus in the early 2000's... its just the covid component that is new.
2021-11-28T20:32:18.000Z,"@CHXN3L You may find out soon  vaccine virgin,who knows, it could be me and the lads  who get to pop that cherry. ⇨ Get the vaccine get your mask on and shut up or else you will face the full extent of the LAW."
2021-11-28T20:32:18.000Z,"@JEM_NYC @SlappyW47814943 @ChamboisMick @nypost What announcement are you talking about?  Every step and milestone of the vaccines development were announced.   ⇨  ⇨ And if the vaccine wasn't working, then covid hospitalizations and deaths wouldn't consist almost entirely of the unvaccinated"
